"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Subclasse","Ordem","Subordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","artificial","order","artificial","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2018-12-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00001","ARMINV 004 ZUFMS ÚMIDA","ANNA; ZUFMS PARASITOS P003","nenhum","nenhum","nenhum","Dero (Allodero) lutzi Michaelsen, 1926","Dero (Allodero) lutzi","Michaelsen, 1926","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida","Tubificina","Naididae","Dero","Allodero","lutzi","x","espécie","x","x","x","ICZN","x","SILVA, I. C. O. ","2016","voucher","SILVA, I. C. O. ","x","x","11","02","2016","8:00:00","2016-02-11","11.II.2016","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'49""S","56°30'32""W","-20.980278","-56.508889","10","WGS84","x",300,443,"não informado","1,5",2,"água corrente","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","não informado","parasita de Scinax nasicus (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00001","x"
"2018-12-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00002","ARMINV 004 ZUFMS ÚMIDA","ANNB; ZUFMS PARASITOS P003","nenhum","nenhum","nenhum","Glossiphoniidae Vaillant, 1890","Glossiphoniidae","Vaillant, 1890","Animalia","Annelida","Clitellata","Hirudinea","Rhynchobdellida","Glossiphoniiformes","Glossiphoniidae","x","x","x","x","família","x","x","x","ICZN","x","SILVA, I. C. O. ","2016","voucher","SILVA, I. C. O. ",2,"x","14","05","2016","8:00:00","2016-05-14","14.V.2016","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Rodovia Bonito-Três Morros Km 0","21°02'44.5""S","56°36'31.4""W","-21.045694","-56.608722","10","WGS84","x",300,443,"não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","não informado","parasita de Odontophrynus americanus (Amphibia: Odontophrynidae)  ","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00002","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00003","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00003","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00004","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","29","11","2020","09:30:00/11:30:00","2020-11-29","29.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00004","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00005","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","09","10","2020","09:30:00/11:30:00","2020-10-09","09.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00005","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00006","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","25","11","2020","09:30:00/11:30:00","2020-11-25","25.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00006","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00007","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 2","26","09","2020","09:30:00/11:30:00","2020-09-26","26.IX.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 2","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Rio Bom","23°47'18.10""S","51°18'07.54""W","-23.788361","-51.302094","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",4,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00007","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00008","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","13","10","2020","09:30:00/11:30:00","2020-10-13","13.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00008","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00009","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 2","13","10","2020","09:30:00/11:30:00","2020-10-13","13.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00009","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00010","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","13","10","2020","09:30:00/11:30:00","2020-10-13","13.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00010","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00011","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",5,"indeterminado","não informado","larva","não informado","selvagem","não informado","1 fragmento","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00011","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00012","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",22,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00012","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00013","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00013","x"
