"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Subclasse","Ordem","Subordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00014","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00014","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00015","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00015","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00016","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",3,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00016","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00017","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","01","10","2020","09:30:00/11:30:00","2020-10-01","01.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00017","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00018","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","01","10","2020","09:30:00/11:30:00","2020-10-01","01.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00018","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00019","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","29","11","2020","09:30:00/11:30:00","2020-11-29","29.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00019","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00020","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","29","11","2020","09:30:00/11:30:00","2020-11-29","29.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00020","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00021","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","22","09","2020","09:30:00/11:30:00","2020-09-22","22.IX.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Ivaí","Paraná","Mauá da Serra","x","Cenoura","23°53'49.74""S","51°17'31.39""W","-23.897150","-51.292053","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00021","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00022","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","09","10","2020","09:30:00/11:30:00","2020-10-09","09.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00022","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00023","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","25","11","2020","09:30:00/11:30:00","2020-11-25","25.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00023","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00024","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","25","11","2020","09:30:00/11:30:00","2020-11-25","25.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00024","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00025","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","25","11","2020","09:30:00/11:30:00","2020-11-25","25.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Tibagi","Paraná","Londrina","x","Lerrovile","23°45'00.08""S","51°01'29.15""W","-23.750022","-51.024764","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",9,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00025","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00026","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","21","11","2020","09:30:00/11:30:00","2020-11-21","21.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Rio Bom","23°47'18.10""S","51°18'07.54""W","-23.788361","-51.302094","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",43,"indeterminado","não informado","larva","não informado","selvagem","não informado","1 fragmento","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00026","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00027","organizar","individual","nenhum","nenhum","nenhum","Dero (Allodero) lutzi Michaelsen, 1926","Dero (Allodero) lutzi","Michaelsen, 1926","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida","Tubificina","Naididae","Dero","Allodero","lutzi","x","espécie","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","030","x","25","01","2018","13:00:00/17:00:00","2018-01-25","25.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00027","x"
"2021-11-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00028","organizar","individual","nenhum","nenhum","nenhum","Arhynchobdellida Blanchard, 1894","Arhynchobdellida","Blanchard, 1894","Animalia","Annelida","Clitellata","Hirudinea","Arhynchobdellida","x","x","x","x","x","x","subclasse","aceito","x","sanguessuga-terrestre","ICZN","x","BÉDA, A. F.","2011-03-24","voucher","BÉDA, A. F.","x","x","24","03","2011","x","2011-03-24","24.III.2011","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","x","casa do Prof. Béda","x","x","x","x","nulo","x","x","nulo ","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","não informado","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","Doação Arlindo Figueiredo Béda","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00028","x"
"2021-11-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00029","LOTE01","ANNC","nenhum","nenhum","nenhum","Hirudinea Lamarck, 1818","Hirudinea","Lamarck, 1818","Animalia","Annelida","Clitellata","Hirudinea","x","x","x","x","x","x","x","subclasse","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00029","x"
