"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial:subphylum","class","order","artificial:suborder","family","artificial:subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2021-10-26","empréstimo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00001","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Teratembia argentina (Navás, 1918)","Teratembia argentina","(Navás, 1918)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Teratembiidae","Teratembiinae","Teratembia","x","argentina","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",1,"x","x","05","2013","x","2013-05","V.2013","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","GR07/2021","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00001","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00002","ARMINV 003 ZUFMS ÚMIDA","EMBB","nenhum","nenhum","nenhum","Archembia cf. boliviana Ross, 2001","Archembia boliviana","Ross, 2001","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Archembiidae","Archembiinae","Archembia","x","boliviana","x","espécie","aceito","x","indeterminado","ICZN","cf.","INDETERMINADO","x","voucher","OLIVIER, R. S.; MONTEIRO, U.",2,"x","07","11","2015","x","2015-11-07","07.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Coxim","x","Pesqueiro Cachoeira das Palmeiras II","18°21'44.85""S","54°36'52.85""W","-18.362458","-54.614681","nulo","WGS84","x",223,223,"nenhum","nulo","nulo","próximo ao Rio Taquari","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00002","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00003","ARMINV 003 ZUFMS ÚMIDA","EMBA","nenhum","nenhum","nenhum","Pararhagadochir sp. Davis, 1940","Pararhagadochir","Davis, 1940","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2020","voucher","MONTEIRO, U.",3,"x","09","11","2015","x","2015-11-09","09.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Laboratório de Zoologia","20°30'0.17""S","54°36'42.32""W","-20.500047","-54.611756","nulo","WGS84","x",548,548,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00003","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00004","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",4,"x","21","06","2016","x","2016-06-21","21.VI.2016","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Laboratório de Zoologia","20°30'0.17""S","54°36'42.32""W","-20.500047","-54.611756","nulo","WGS84","x",548,548,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00004","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00005","ARMINV 003 ZUFMS ÚMIDA","EMBB","nenhum","nenhum","nenhum","Archembia cf. boliviana Ross, 2001","Archembia boliviana","Ross, 2001","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Archembiidae","Archembiinae","Archembia","x","boliviana","x","espécie","aceito","x","indeterminado","ICZN","cf.","INDETERMINADO","x","voucher","OLIVIER, R. S.; MONTEIRO, U.",5,"x","07","11","2015","x","2015-11-07","07.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Coxim","x","Pesqueiro Cachoeira das Palmeiras II","18°21'44.85""S","54°36'52.85""W","-18.362458","-54.614681","nulo","WGS84","x",223,223,"nenhum","nulo","nulo","próximo ao Rio Taquari","animal inteiro (ETOH 70%)",37,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00005","x"
"2021-10-26","empréstimo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00006","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Xiphosembia sp. nov. coximensis Ross, 2001","Xiphosembia","Ross, 2001","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Archembiidae","Archembiinae","Xiphosembia","x","coximensis","x","espécie","em descrição","x","indeterminado","ICZN","sp. nov.","COSTA-PINTO, P. J.","2019","holótipo","OLIVIER, R. S.; MONTEIRO, U.",6,"x","07","11","2015","x","2015-11-06/2015-11-07","06-07.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Coxim","x","Pesqueiro Cachoeira das Palmeiras II","18°21'44.85""S","54°36'52.85""W","-18.362458","-54.614681","nulo","WGS84","x",223,223,"nenhum","nulo","nulo","próximo ao Rio Taquari","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","GR07/2021","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00006","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00007","ARMINV 003 ZUFMS ÚMIDA","EMBA","nenhum","nenhum","nenhum","Pararhagadochir sp. Davis, 1940","Pararhagadochir","Davis, 1940","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2020","voucher","OLIVEIRA, A. F.",7,"x","x","04","2015","x","2015-04","IV.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Coophatrabalho","20°26'11.6""S","54°38'58.40""W","-20.436556","-54.649556","nulo","WGS84","x",598,598,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00007","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00008","ARMINV 003 ZUFMS ÚMIDA","EMBA","nenhum","nenhum","nenhum","Pararhagadochir sp. Davis, 1940","Pararhagadochir","Davis, 1940","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","OLIVIER, R. S.","2015","voucher","INDETERMINADO",8,"x","03","04","2014","x","2014-04-03","03.IV.2014","cativeiro","Cerrado","nenhuma","criação 15.I.2015 a 03.IV.2014","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",">10","irreconhecível","não informado","imaturo; ovos","não reprodutivo","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00008","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00009","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",9,"x","23","03","2015","x","2015-03-23","23.III.2015","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00009","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00010","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",10,"x","08","01","2014","x","2014-01-08","08.I.2014","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00010","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00011","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",11,"x","20","10","2013","x","2013-10-20","20.X.2013","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00011","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00012","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",12,"x","06","03","2014","x","2014-03-06","06.III.2014","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00012","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00013","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",13,"x","28","03","2014","x","2014-03-28","28.III.2014","não informado","Cerrado","nenhuma","coletado em Fabaceae","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","20°30'03.3""S","54°36'44.8""W","-20.500917","-54.612444","nulo","WGS84","x",537,537,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00013","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00014","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVEIRA, A. F.",14,"x","28","02","2015","x","2015-02-28","28.II.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Coophatrabalho","20°25'56.8""S","54°39'22.10""W","-20.432444","-54.656139","nulo","WGS84","x",579,579,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00014","x"
"2021-10-26","empréstimo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00015","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Diradius sp. Friederichs, 1934","Diradius","Friederichs, 1934","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Teratembiidae","Teratembiinae","Diradius","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2019","voucher","OLIVIER, R. S.",15,"x","17","08","2015","x","2015-08-17","17.VIII.2015","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","GR07/2021","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00015","x"
