"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial:subphylum","class","order","artificial:suborder","family","artificial:subfamily","artificial:tribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-04-04","rever coordenadas","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,7,"CEUFMS 12421","x","x","Orthoderella sp.","Orthoderella","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Photinaidae","Photinainae","Orthoderellini","Orthoderella","x","x","x","gênero","x","x","x","ICZN","sp.","Olivier, R. S.","2013","x","Sinani, T. ","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vírginea","22°01'35.3""S","57°54'16.1""W","-22.02647","-57.90446","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever coordenadas","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,7,"CEUFMS 12422","x","x","Orthoderella sp.","Orthoderella","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Photinaidae","Photinainae","Orthoderellini","Orthoderella","x","x","x","gênero","x","x","x","ICZN","sp.","Olivier, R. S.","2013","x","Sinani, T. ","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vírginea","22°01'35.3""S","57°54'16.1""W","-22.02647","-57.90446","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,6,"CEUFMS 00545","x","x","Mantodea","Mantodea","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","x","x","x","x","x","x","x","ordem","x","x","x","ICZN","x","x","x","x","Garcia, M.","x","x","10","11","2012","x","x","10.XI.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°24'54''S","54°30'48''W","-20.415000","-54.513333","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06292","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","07","02","2014","x","x","07.II.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06293","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","16","03","2014","x","x","16.III.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06294","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","21","04","2014","x","x","21.IV.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06295","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","22","04","2014","x","x","22.IV.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06296","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","30","05","2014","x","x","30.V.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...","coleção úmida","x","CEUFMS 06297","x","x","Mantidae","Mantidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Mantidae","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","02","06","2014","x","x","02.VI.2014","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,6,"CEUFMS 00546","x","x","Mantodea","Mantodea","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","x","x","x","x","x","x","x","ordem","x","x","x","ICZN","x","x","x","x","Neves, I. M.","x","x","08","09","2009","x","x","08.IX.2009","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bandeirantes","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,7,"CEUFMS 12420","x","x","Photina sp.","Photina","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","Photinaidae","Photinainae","Photinaini","Photina","x","x","x","gênero","x","x","x","ICZN","sp.","Olivier, R. S.","2013","x","Olivier, R. S. ","x","x","05","10","2015","x","x","05.X.2015","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul ","Campo Grande ","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,6,"CEUFMS 00547","x","x","Mantodea","Mantodea","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","x","x","x","x","x","x","x","ordem","x","x","x","ICZN","x","x","x","x","Morales, M. J. A.","x","x","15","10","2009","x","x","15.X.2009","x","x","x","x","América do Sul","Brasil","BRA","x","São Paulo","Tupã","x","Estância Fênix","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","rever dados","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MAN...",6,6,"CEUFMS 00548","x","x","Mantodea","Mantodea","x","Animalia","Arthropoda","Hexapoda","Insecta","Mantodea","x","x","x","x","x","x","x","x","ordem","x","x","x","ICZN","x","Fava, W. S.","x","x","Bonfietti, L. X.","x","x","18","10","2007","x","x","18.X.2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x"
